Months since Jan 2012,Number of Occurances North of Foster,Number of Occurances South of Foster
0,51,73
1,61,73
2,52,56
3,55,51
4,96,71
5,73,44
6,41,56
7,40,47
8,88,69
9,76,88
10,48,62
11,5,11
12,85,60
13,90,116
14,33,46
15,59,78
16,76,65
17,77,72
18,50,69
19,38,34
20,63,76
21,89,103
22,72,61
23,5,7
24,117,131
25,52,64
26,36,54
27,53,57
28,85,101
29,45,62
30,40,45
31,30,37
32,73,64
33,105,84
34,62,54
35,38,30
36,56,44
37,45,50
38,45,45
39,55,50
40,83,65
41,50,55
42,55,49
43,32,48
44,75,50
45,100,82
46,77,49
47,35,19
48,54,49
49,58,42
50,38,50
51,62,61
52,87,91
53,44,48
54,38,38
55,39,26
56,99,76
57,92,79
58,78,56
59,29,38
60,59,49
61,54,52
62,46,53
63,44,61
64,48,48
