Months since Jan 2012,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,Number of Occurances on Weekends (2 days total),Number of Occurances on Weekdays (5 days total)
0,23,16,17,17,17,20,14,37,87
1,14,23,19,18,25,10,25,35,99
2,17,19,13,16,14,22,8,36,73
3,10,18,18,15,14,22,19,36,80
4,26,24,16,12,18,53,19,71,97
5,16,12,10,18,33,16,16,49,72
6,25,13,14,10,7,20,8,27,70
7,16,9,13,13,12,19,5,31,56
8,21,16,32,16,23,33,16,56,101
9,23,24,18,27,16,38,18,54,110
10,19,15,10,13,19,19,15,38,72
11,0,1,1,3,6,5,0,11,5
12,16,19,29,16,32,14,20,46,100
13,31,27,33,15,38,29,36,67,142
14,8,7,9,8,25,13,10,38,42
15,23,17,12,28,22,23,13,45,93
16,20,18,26,19,31,16,14,47,97
17,19,11,13,16,26,49,15,75,74
18,20,11,21,16,19,12,21,31,89
19,8,6,13,13,15,15,3,30,43
20,23,20,28,12,18,33,20,51,103
21,22,27,31,22,24,48,28,72,130
22,15,15,14,18,22,36,13,58,75
23,5,0,0,0,2,3,2,5,7
24,17,30,34,46,39,36,51,75,178
25,16,17,11,19,17,17,23,34,86
26,14,12,13,10,8,17,18,25,67
27,16,20,14,12,9,24,19,33,81
28,14,7,22,18,37,68,25,105,86
29,13,8,15,16,24,18,16,42,68
30,11,19,15,10,9,9,13,18,68
31,9,12,8,5,13,9,13,22,47
32,19,18,24,18,29,24,14,53,93
33,23,26,22,24,27,51,24,78,119
34,14,13,11,17,6,41,17,47,72
35,15,9,7,12,14,12,5,26,48
36,9,11,17,28,18,7,12,25,77
37,13,7,7,13,17,20,19,37,59
38,16,13,12,14,12,13,17,25,72
39,19,14,23,14,17,12,7,29,77
40,13,15,21,12,29,45,16,74,77
41,11,13,16,16,16,21,12,37,68
42,13,16,11,19,22,14,17,36,76
43,13,12,11,11,11,11,14,22,61
44,17,20,17,15,15,30,17,45,86
45,20,18,24,19,27,48,31,75,112
46,19,18,17,18,12,26,23,38,95
47,7,15,5,7,8,7,6,15,40
48,18,11,19,14,21,16,17,37,79
49,15,9,17,16,16,13,16,29,73
50,10,15,19,24,14,6,5,20,73
51,16,13,17,22,27,24,8,51,76
52,25,12,15,25,19,60,24,79,101
53,8,9,23,13,16,9,15,25,68
54,11,16,11,13,16,6,4,22,55
55,9,14,10,15,8,1,10,9,58
56,15,24,21,24,26,52,16,78,100
57,18,15,18,26,26,38,34,64,111
58,16,14,31,17,19,16,21,35,99
59,17,5,11,8,12,11,5,23,46
60,18,19,9,12,21,11,22,32,80
61,14,13,18,19,16,19,13,35,77
62,12,13,21,15,18,12,11,30,72
63,9,13,17,13,21,20,14,41,66
64,15,17,11,8,9,31,7,40,58
